URL,company_name,sector,subsector,founded_year,hq_country,hq_state,hq_city,is_usa,n_investors,total_funding_usd
https://forgeglobal.com/mimic_stock/,Mimic,Enterprise Software,Cybersecurity,2023,United States,CA,San Mateo,True,5,77170000.0
https://forgeglobal.com/mind-robotics_stock/,Mind Robotics,Industrial,Other Industrial,2025,United States,CA,Palo Alto,True,0,1015000000.0
https://forgeglobal.com/mindbody_stock/,Mindbody,Consumer & Lifestyle,Consumer Applications,2000,United States,CA,San Luis Obispo,True,5,
https://forgeglobal.com/mindmaze_stock/,MindMaze,Healthcare,Digital Health,2012,Switzerland,,Lausanne,False,7,
https://forgeglobal.com/mindstrong-health_stock/,Mindstrong Health,Healthcare,Digital Health,2014,United States,CA,Menlo Park,True,0,160350000.0
https://forgeglobal.com/mindtickle_stock/,Mindtickle,Enterprise Software,Sales & Marketing /​ Adtech,2012,United States,CA,San Francisco,True,7,257941485.0
https://forgeglobal.com/mine_stock/,Mine AI,Enterprise Software,Data Management /​ Storage,2018,Israel,,Tel Aviv,False,8,
https://forgeglobal.com/mineralys_stock/,Mineralys,Healthcare,Biotech & Pharma,2019,United States,PA,Radnor,True,6,159180000.0
https://forgeglobal.com/minerva-project_stock/,Minerva Project,Education,E-Learning,2012,United States,CA,San Francisco,True,0,139970000.0
https://forgeglobal.com/miniluxe_stock/,Miniluxe,Consumer & Lifestyle,Other Consumer & Lifestyle,2007,United States,MA,Boston,True,0,
https://forgeglobal.com/minio_stock/,MinIO,Enterprise Software,Cloud /​ Networking Infrastructure,2014,United States,CA,Redwood City,True,4,126300000.0
https://forgeglobal.com/ministry-of-supply_stock/,Ministry of Supply,Consumer & Lifestyle,"Clothing, Fashion, Beauty & Apparel",2012,United States,MA,Boston,True,3,
https://forgeglobal.com/mint-house_stock/,Mint House,Consumer & Lifestyle,Travel & Hospitality,2017,United States,NY,New York,True,0,
https://forgeglobal.com/minted_stock/,Minted,Consumer & Lifestyle,E-commerce,2007,United States,CA,San Francisco,True,2,257623861.85
https://forgeglobal.com/mintlify_stock/,Mintlify,Enterprise Software,Productivity,2021,United States,CA,San Francisco,True,0,67185007.11
https://forgeglobal.com/minute-media_stock/,Minute Media,Consumer & Lifestyle,Media,2011,Israel,,Tel Aviv,False,0,
https://forgeglobal.com/mirage_stock/,Mirage,Consumer & Lifestyle,Other Consumer & Lifestyle,2021,United States,NY,New York,True,0,100970000.0
https://forgeglobal.com/mirakl_stock/,Mirakl,Consumer & Lifestyle,E-commerce Software,2011,France,,Paris,False,7,
https://forgeglobal.com/mirantis_stock/,Mirantis,Enterprise Software,Cloud /​ Networking Infrastructure,1999,United States,CA,Campbell,True,8,176150000.0
https://forgeglobal.com/miro_stock/,Miro,Enterprise Software,Communication & Collaboration Software,2011,United States,CA,San Francisco,True,7,473988992.2
https://forgeglobal.com/mirror_stock/,MIRROR,Consumer & Lifestyle,Fitness,2016,United States,NY,New York,True,0,
https://forgeglobal.com/misfits-market_stock/,Misfits Market,Foodtech,Food Products & Services,2018,United States,OR,Clackamas,True,18,619240000.0
https://forgeglobal.com/miso-robotics_stock/,Miso Robotics,Industrial,Robotics,2016,United States,CA,Pasadena,True,5,85050000.0
https://forgeglobal.com/mission-bio_stock/,Mission Bio,Healthcare,Biotech & Pharma,2014,United States,CA,San Francisco,True,4,183000000.0
https://forgeglobal.com/mistral-ai_stock/,Mistral AI,Enterprise Software,Data Intelligence,2023,France,,Paris,False,31,
https://forgeglobal.com/mitra-chem_stock/,Mitra Chem,Energy,Energy Storage,2021,United States,CA,Mountain View,True,14,91120000.0
https://forgeglobal.com/mixhalo_stock/,Mixhalo,Consumer & Lifestyle,Entertainment,2016,United States,CA,San Francisco,True,6,
https://forgeglobal.com/mixpanel_stock/,Mixpanel,Enterprise Software,Data Intelligence,2009,United States,CA,San Francisco,True,2,277050000.0
